11/11/2021 23:15,Sí,9,Femenino,Sonora,Biológicas y de la salud,1,Sí,No,0,,,,,,,,,,,,,,,,,,,Sí,No,Sí,Las reviso detenidamente,Las configuro,Me es indiferente,Sí,No,"Fraude digital (uso indebido de datos bancarios y / o información personal para cometer delitos, provocando pérdidas a las víctimas)",No,No sé,"Evitar acceder a tus redes sociales utilizando conexiones inalámbricas públicas, Ulilizar un gestor de contraseñas",No,No,Sí,No sé,Me es indiferente,No,@braliart_20
11/11/2021 23:15,Sí,85,Masculino,Durango,Físico Matemático y de la Ingeniería,4,Sí,No,0,,,,,,,,,,,,,,,,,,,Sí,No,Sí,Las acepto para continuar rápidamente con mi navegación,Las configuro,No,Sí,No,"Correos solicitando información confidencial de fuentes no autorizadas (contraseñas de redes, información bancaria, entre otros), Acoso digital (comportamiento que se repite y que busca atemorizar, enfadar o humillar a otras personas), Filtrado de información (fotos, conversaciones, datos personales), Cambios en nuestros dispositivos que no conocemos (infección por virus)",Sí,No sé,"Evitar acceder a tus redes sociales en computadoras públicas, Tener cuidado con enlaces que te han enviado, Ulilizar un gestor de contraseñas",No,Sí,No sé,No,Sí,Me es indiferente,abc
11/11/2021 23:17,Sí,19,Femenino,CDMX,Físico Matemático y de la Ingeniería,5,Sí,Sí,5,"Computadora, Tablet, Celular, Smartwatch, Otro",Segundo,Tercero,Primero,,,No,2,5,4,"Facebook, Instagram, WhatsApp, Twitter",Tercera,Segunda,Primera,,,,,Sí,Sí,Sí,Las acepto para continuar rápidamente con mi navegación,Acepto el default,Sí,Sí,Sí,"Correos solicitando información confidencial de fuentes no autorizadas (contraseñas de redes, información bancaria, entre otros), Cambios en nuestros dispositivos que no conocemos (infección por virus)",Sí,No sé,"Crear una contraseña fuerte (Al menos 8 caracteres, incluyendo mayúsculas, minúsculas, números y caracteres especiales), Cambiar de contraseña frecuentemente, Usar diferentes contraseñas para diferentes cuentas, Utilizar verificación de dos pasos",No,Sí,No,No sé,No,Sí,@tu_ex
11/11/2021 23:18,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2021 23:19,Sí,2,Masculino,Tlaxcala,Físico Matemático y de la Ingeniería,4,Sí,Sí,0,,,,,,,,,,,,,,,,,,,No,No,No,Las reviso detenidamente,Acepto el default,,,,,,,,Sí,Sí,No sé,Sí,Me es indiferente,Sí,kanyewest
11/11/2021 23:26,Sí,20,Femenino,Veracruz,Artes y Humanidades,3,Sí,Sí,0,,,,,,,,,,,,,,,,,,,No,No,No,Las reviso detenidamente,Las configuro,Sí,Sí,Sí,"Correos solicitando información confidencial de fuentes no autorizadas (contraseñas de redes, información bancaria, entre otros), Acoso digital (comportamiento que se repite y que busca atemorizar, enfadar o humillar a otras personas), Robo de identidad (hurto de datos personales para cometer fraudes), Cambios en nuestros dispositivos que no conocemos (infección por virus)",Sí,No sé,Ninguna,Sí,No,No sé,Sí,No,Sí,@blonded
11/11/2021 23:27,Sí,5,Femenino,Colima,Físico Matemático y de la Ingeniería,3,No,Sí,7,"Computadora, Tablet, Celular, Smartwatch, Otro",Primero,,Tercero,Segundo,,Sí,62,87,8,"Facebook, Instagram, WhatsApp, Twitter, TikTok, Ninguna, Otra",Primera,Segunda,,Tercera,,,,Sí,Sí,Sí,Las acepto para continuar rápidamente con mi navegación,Las configuro,Sí,Sí,No,"Correos solicitando información confidencial de fuentes no autorizadas (contraseñas de redes, información bancaria, entre otros), Acoso digital (comportamiento que se repite y que busca atemorizar, enfadar o humillar a otras personas), Fraude digital (uso indebido de datos bancarios y / o información personal para cometer delitos, provocando pérdidas a las víctimas), Robo de identidad (hurto de datos personales para cometer fraudes), Filtrado de información (fotos, conversaciones, datos personales), Cambios en nuestros dispositivos que no conocemos (infección por virus)",No,No sé,"Crear una contraseña fuerte (Al menos 8 caracteres, incluyendo mayúsculas, minúsculas, números y caracteres especiales), Cambiar de contraseña frecuentemente, Usar diferentes contraseñas para diferentes cuentas, Evitar acceder a tus redes sociales en computadoras públicas, Evitar acceder a tus redes sociales utilizando conexiones inalámbricas públicas, Tener cuidado con enlaces que te han enviado, Utilizar verificación de dos pasos, Ulilizar un gestor de contraseñas, Ninguna",No,Sí,No,No sé,Sí,Sí,No me interesa
17/11/2021 21:55,Sí,1,Masculino,Guerrero,Biológicas y de la salud,3,Sí,Sí,5,"Computadora, Tablet, Celular, Smartwatch, Otro",Primero,Segundo,,Tercero,,Sí,2,6,7,"Facebook, Instagram, WhatsApp, Twitter, TikTok, Ninguna, Otra",Primera,Segunda,Tercera,,,,,Sí,Sí,Sí,Las reviso detenidamente,Las configuro,Sí,Sí,Sí,"Correos solicitando información confidencial de fuentes no autorizadas (contraseñas de redes, información bancaria, entre otros), Acoso digital (comportamiento que se repite y que busca atemorizar, enfadar o humillar a otras personas), Fraude digital (uso indebido de datos bancarios y / o información personal para cometer delitos, provocando pérdidas a las víctimas), Robo de identidad (hurto de datos personales para cometer fraudes), Filtrado de información (fotos, conversaciones, datos personales), Cambios en nuestros dispositivos que no conocemos (infección por virus)",Sí,Sí,"Crear una contraseña fuerte (Al menos 8 caracteres, incluyendo mayúsculas, minúsculas, números y caracteres especiales), Cambiar de contraseña frecuentemente, Usar diferentes contraseñas para diferentes cuentas, Evitar acceder a tus redes sociales en computadoras públicas, Evitar acceder a tus redes sociales utilizando conexiones inalámbricas públicas, Tener cuidado con enlaces que te han enviado, Utilizar verificación de dos pasos, Ulilizar un gestor de contraseñas, Ninguna",Sí,Sí,Sí,Sí,Sí,Sí,No me interesa
,,,,,,,,,,,,,,,,,,,,varchar (62) ,7,7,7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varchar(56),varchar(18),varchar (),,,,,,,,,,,,,
